"name","run.no.in.std.order","run.no","run.no.std.rp","storage_nodes","forwarders","request","files","spatiality"
"1","113",1,"113","4","4","4","individual","strided"
"2","80",2,"80","4","2","8","shared","contiguous"
"3","18",3,"18","8","1","4","individual","contiguous"
"4","1",4,"1","1","1","1","individual","contiguous"
"5","65",5,"65","4","2","4","shared","contiguous"
"6","100",6,"100","1","8","1","individual","strided"
"7","72",7,"72","8","8","4","shared","contiguous"
"8","130",8,"130","1","8","8","individual","strided"
"9","110",9,"110","4","2","4","individual","strided"
"10","57",10,"57","8","8","1","shared","contiguous"
"11","108",11,"108","8","1","4","individual","strided"
"12","20",12,"20","4","2","4","individual","contiguous"
"13","43",13,"43","1","16","8","individual","contiguous"
"14","36",14,"36","8","2","8","individual","contiguous"
"15","115",15,"115","1","8","4","individual","strided"
"16","169",16,"169","1","2","8","shared","strided"
"17","70",17,"70","1","8","4","shared","contiguous"
"18","53",18,"53","4","4","1","shared","contiguous"
"19","120",19,"120","8","16","4","individual","strided"
"20","74",20,"74","4","16","4","shared","contiguous"
"21","125",21,"125","4","2","8","individual","strided"
"22","121",22,"121","1","1","8","individual","strided"
"23","28",23,"28","1","16","4","individual","contiguous"
"24","90",24,"90","8","16","8","shared","contiguous"
"25","56",25,"56","4","8","1","shared","contiguous"
"26","59",26,"59","4","16","1","shared","contiguous"
"27","93",27,"93","8","1","1","individual","strided"
"28","89",28,"89","4","16","8","shared","contiguous"
"29","152",29,"152","4","1","4","shared","strided"
"30","14",30,"14","4","16","1","individual","contiguous"
"31","27",31,"27","8","8","4","individual","contiguous"
"32","8",32,"8","4","4","1","individual","contiguous"
"33","48",33,"48","8","1","1","shared","contiguous"
"34","15",34,"15","8","16","1","individual","contiguous"
"35","63",35,"63","8","1","4","shared","contiguous"
"36","146",36,"146","4","8","1","shared","strided"
"37","49",37,"49","1","2","1","shared","contiguous"
"38","32",38,"32","4","1","8","individual","contiguous"
"39","34",39,"34","1","2","8","individual","contiguous"
"40","174",40,"174","8","4","8","shared","strided"
"41","140",41,"140","4","2","1","shared","strided"
"42","139",42,"139","1","2","1","shared","strided"
"43","148",43,"148","1","16","1","shared","strided"
"44","60",44,"60","8","16","1","shared","contiguous"
"45","178",45,"178","1","16","8","shared","strided"
"46","126",46,"126","8","2","8","individual","strided"
"47","171",47,"171","8","2","8","shared","strided"
"48","94",48,"94","1","2","1","individual","strided"
"49","101",49,"101","4","8","1","individual","strided"
"50","99",50,"99","8","4","1","individual","strided"
"51","37",51,"37","1","4","8","individual","contiguous"
"52","45",52,"45","8","16","8","individual","contiguous"
"53","172",53,"172","1","4","8","shared","strided"
"54","68",54,"68","4","4","4","shared","contiguous"
"55","21",55,"21","8","2","4","individual","contiguous"
"56","9",56,"9","8","4","1","individual","contiguous"
"57","3",57,"3","8","1","1","individual","contiguous"
"58","128",58,"128","4","4","8","individual","strided"
"59","10",59,"10","1","8","1","individual","contiguous"
"60","167",60,"167","4","1","8","shared","strided"
"61","2",61,"2","4","1","1","individual","contiguous"
"62","69",62,"69","8","4","4","shared","contiguous"
"63","13",63,"13","1","16","1","individual","contiguous"
"64","22",64,"22","1","4","4","individual","contiguous"
"65","134",65,"134","4","16","8","individual","strided"
